"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "Tract" "CommuteTime"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Home Office" "Freelancer" "Female" "Married" "No Health Insurance" "No Education" "Home Office" "60+" "Other" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Business Development" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "No Health Insurance" "No Education" "Not Home Office" "18-29" NA "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Higher Management" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "No Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Female" "Married" "No Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 13.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" "Census Tract 30.05, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "30-39" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "30-39" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Business Development" "Very High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Higher Management" "Rather Low" "Census Tract 6, Santa Barbara County, California" "No"
"Home Office" "Freelancer" "Female" "Not Married" "Health Insurance" "Bachelor" "Home Office" "30-39" "Art" "Rather High" "Census Tract 7, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Somewhere In The Middle" "Census Tract 13.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Rather Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "IT" "Somewhere In The Middle" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Higher Management" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 16.01, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Rather Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Business Development" "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 30.04, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 6, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Home Office" "Freelancer" "Female" "Not Married" "Health Insurance" "Bachelor" "Home Office" "50-59" "Art" "Rather Low" "Census Tract 2, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "PR, Marketing, Sales, Advertising" "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 5.02, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "IT" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Male" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "18-29" "Research" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Very High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Business Development" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Other" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "Master" "Not Home Office" "30-39" "IT" "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Business Development" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Art" "Very Low" "Census Tract 2, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "IT" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "50-59" NA "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "High School" "Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Home Office" "Entrepreneur" "Male" "Married" "Health Insurance" "No Education" "Home Office" "50-59" "Business Development" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 13.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Research" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "50-59" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Home Office" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "60+" "Business Development" "Somewhere In The Middle" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Education" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Art" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Rather Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" NA "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 12.08, Santa Barbara County, California" "Yes"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "30-39" NA "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Home Office" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Home Office" "18-29" "Education" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "Yes"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Business Development" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "IT" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.13, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Design" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Other" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "IT" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Art" "Rather Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Master" "Home Office" "60+" "Higher Management" "Rather High" "Census Tract 7, Santa Barbara County, California" "Yes"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "IT" "Somewhere In The Middle" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Business Development" "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Higher Management" "Rather High" "Census Tract 7, Santa Barbara County, California" "No"
"Home Office" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 29.06, Santa Barbara County, California" "Yes"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very High" "Census Tract 7, Santa Barbara County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Art" "Rather Low" "Census Tract 29.06, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" "Census Tract 5.02, Santa Barbara County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 5.02, Santa Barbara County, California" "No"
