"","GoogleInput","GEOID","NAME","Population","moe","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","DrivingTime","BikingTime","TransitTime"
"192","34.4256454+-119.6388981","06083001402","Census Tract 14.02, Santa Barbara County, California",3316,323,1.918,0.097,34.4256454,-119.6388981,1072,2827,2927
"193","34.4261948+-119.7150662","06083000301","Census Tract 3.01, Santa Barbara County, California",2858,354,0.197,0,34.4261948,-119.7150662,1075,4707,4137
"194","34.4266384+-119.891155","06083002930","Census Tract 29.30, Santa Barbara County, California",7457,521,1.725,0.007,34.4266384,-119.891155,1698,8177,8102
"195","34.4270203+-119.8393624","06083980000","Census Tract 9800, Santa Barbara County, California",8,13,1.727,0.091,34.4270203,-119.8393624,1565,7439,6889
"196","34.4273462+-119.6856673","06083000801","Census Tract 8.01, Santa Barbara County, California",3904,444,0.367,0,34.4273462,-119.6856673,1053,4153,2754
"197","34.4309086+-119.7222979","06083000302","Census Tract 3.02, Santa Barbara County, California",4028,333,0.394,0,34.4309086,-119.7222979,1103,4939,4606
"198","34.4310923+-119.8195446","06083003001","Census Tract 30.01, Santa Barbara County, California",5962,506,1.561,0.013,34.4310923,-119.8195446,1330,6929,6313
"199","34.4329797+-119.8016292","06083003004","Census Tract 30.04, Santa Barbara County, California",5203,414,0.711,0,34.4329797,-119.8016292,1423,6574,5927
"200","34.434415+-119.7101634","06083000400","Census Tract 4, Santa Barbara County, California",4652,411,0.794,0.001,34.434415,-119.7101634,1225,4589,4197
"201","34.4348901+-119.7377484","06083000200","Census Tract 2, Santa Barbara County, California",4175,434,1.09,0,34.4348901,-119.7377484,1220,5429,5325
"202","34.4364472+-119.8865161","06083002909","Census Tract 29.09, Santa Barbara County, California",6035,407,0.983,0,34.4364472,-119.8865161,1646,8203,8097
"203","34.4366709+-119.784079","06083003005","Census Tract 30.05, Santa Barbara County, California",5161,400,0.993,0,34.4366709,-119.784079,1297,6204,5500
"204","34.4372104+-119.6891123","06083000600","Census Tract 6, Santa Barbara County, California",4971,597,1.535,0,34.4372104,-119.6891123,1214,4317,4154
"205","34.4413702+-119.5140917","06083001706","Census Tract 17.06, Santa Barbara County, California",4202,344,47.035,0.167,34.4413702,-119.5140917,670,3880,NA
"206","34.4427183+-119.2836138","06111001002","Census Tract 10.02, Ventura County, California",6405,716,3.193,0,34.4427183,-119.2836138,1866,7273,9794
"207","34.4449009+-119.7296812","06083000502","Census Tract 5.02, Santa Barbara County, California",6531,604,1.185,0,34.4449009,-119.7296812,1301,5144,4889
"208","34.4459285+-119.8231892","06083002914","Census Tract 29.14, Santa Barbara County, California",3193,328,0.696,0,34.4459285,-119.8231892,1472,7195,7657
"209","34.446327+-119.7788151","06083000101","Census Tract 1.01, Santa Barbara County, California",6636,588,1.464,0,34.446327,-119.7788151,1318,6149,6019
"210","34.4464413+-119.7525924","06083000102","Census Tract 1.02, Santa Barbara County, California",5335,425,0.949,0,34.4464413,-119.7525924,1330,5612,5526
"211","34.4465371+-119.8436531","06083002906","Census Tract 29.06, Santa Barbara County, California",4249,396,1.633,0.052,34.4465371,-119.8436531,1570,7603,8417
"212","34.4465685+-119.80683","06083002913","Census Tract 29.13, Santa Barbara County, California",3890,294,0.832,0,34.4465685,-119.80683,1350,6682,6420
"213","34.4581241+-119.6071067","06083001500","Census Tract 15, Santa Barbara County, California",3062,318,12.413,0.005,34.4581241,-119.6071067,4473,7247,NA
"214","34.4587926+-119.2618887","06111000901","Census Tract 9.01, Ventura County, California",2506,293,3.812,0.016,34.4587926,-119.2618887,2205,8039,10776
"215","34.4611878+-119.6645571","06083000700","Census Tract 7, Santa Barbara County, California",6930,497,8.75,0.002,34.4611878,-119.6645571,1465,5696,NA
"216","34.4674371+-119.7080007","06083000501","Census Tract 5.01, Santa Barbara County, California",3578,355,9.08,0.054,34.4674371,-119.7080007,1900,5917,NA
"217","34.4739783+-119.8420038","06083002907","Census Tract 29.07, Santa Barbara County, California",4192,351,17.318,0.047,34.4739783,-119.8420038,1893,8022,NA
"218","34.4750719+-119.1567223","06111000903","Census Tract 9.03, Ventura County, California",5664,488,51.921,0.021,34.4750719,-119.1567223,6407,13366,NA
"219","34.4804788+-120.0289157","06083002932","Census Tract 29.32, Santa Barbara County, California",2251,267,89.501,1.08,34.4804788,-120.0289157,2463,11864,NA
"220","34.4986483+-119.7769832","06083000103","Census Tract 1.03, Santa Barbara County, California",3083,238,16.569,0.004,34.4986483,-119.7769832,1457,7283,NA
"221","34.5571887+-120.3728585","06083003102","Census Tract 31.02, Santa Barbara County, California",3194,283,197.211,1.182,34.5571887,-120.3728585,3246,20285,NA
"222","34.5630379+-120.020725","06083001906","Census Tract 19.06, Santa Barbara County, California",5891,506,105.72,2.72,34.5630379,-120.020725,NA,23630,NA
"223","34.6243954+-120.1378749","06083001903","Census Tract 19.03, Santa Barbara County, California",6238,403,9.064,0.007,34.6243954,-120.1378749,3889,20756,NA
"224","34.6348033+-120.4486596","06083002708","Census Tract 27.08, Santa Barbara County, California",2569,214,0.562,0,34.6348033,-120.4486596,3944,23955,NA
"225","34.6350153+-120.4658965","06083002707","Census Tract 27.07, Santa Barbara County, California",2192,223,0.448,0.002,34.6350153,-120.4658965,4158,24289,NA
"226","34.6429274+-120.4449545","06083002703","Census Tract 27.03, Santa Barbara County, California",4370,350,0.8,0.01,34.6429274,-120.4449545,3919,23934,NA
"227","34.6431155+-120.4666395","06083002702","Census Tract 27.02, Santa Barbara County, California",7859,565,0.557,0,34.6431155,-120.4666395,4107,24400,NA
"228","34.6431476+-119.1348137","06111000100","Census Tract 1, Ventura County, California",660,108,918.861,3.144,34.6431476,-119.1348137,8780,44094,NA
"229","34.6504892+-120.4677464","06083002705","Census Tract 27.05, Santa Barbara County, California",4165,424,0.493,0,34.6504892,-120.4677464,4238,24577,15892
"230","34.6507195+-120.4487233","06083002706","Census Tract 27.06, Santa Barbara County, California",6702,484,0.493,0,34.6507195,-120.4487233,4034,24146,15580
"231","34.651327+-120.4798055","06083002806","Census Tract 28.06, Santa Barbara County, California",2424,210,0.818,0.001,34.651327,-120.4798055,4332,24795,16271
"232","34.6651688+-120.4553875","06083002802","Census Tract 28.02, Santa Barbara County, California",7434,596,2.188,0.006,34.6651688,-120.4553875,4216,24625,14255
"233","34.6773779+-120.4864559","06083002604","Census Tract 26.04, Santa Barbara County, California",3138,218,6.282,0.06,34.6773779,-120.4864559,4413,25509,NA
"234","34.6932983+-120.3378498","06083002809","Census Tract 28.09, Santa Barbara County, California",4968,365,82.131,0.086,34.6932983,-120.3378498,4775,24297,NA
"235","34.70434+-120.0260903","06083001905","Census Tract 19.05, Santa Barbara County, California",2464,247,124.991,0.07,34.70434,-120.0260903,4264,24289,NA
"236","34.7122846+-120.5566535","06083002606","Census Tract 26.06, Santa Barbara County, California",3518,250,156.089,2.219,34.7122846,-120.5566535,4887,27404,NA
"237","34.7188934+-120.4693088","06083002808","Census Tract 28.08, Santa Barbara County, California",7146,569,11.552,0.001,34.7188934,-120.4693088,4584,26346,NA
"238","34.7435494+-120.1899733","06083001901","Census Tract 19.01, Santa Barbara County, California",7102,634,161.991,0.489,34.7435494,-120.1899733,4143,24038,NA
"239","34.7776482+-119.71774","06083001800","Census Tract 18, Santa Barbara County, California",1030,209,1159.836,7.978,34.7776482,-119.71774,13244,38283,NA
"240","34.8571727+-120.4066431","06083002005","Census Tract 20.05, Santa Barbara County, California",5331,340,2.451,0,34.8571727,-120.4066431,4572,27725,13834
"241","34.867905+-120.444008","06083002012","Census Tract 20.12, Santa Barbara County, California",3202,367,1.274,0,34.867905,-120.444008,4796,28385,13223
"242","34.8714281+-120.4100285","06083002010","Census Tract 20.10, Santa Barbara County, California",4551,384,0.934,0,34.8714281,-120.4100285,4554,27627,12556
"243","34.8722878+-120.4277159","06083002009","Census Tract 20.09, Santa Barbara County, California",4303,369,1.005,0,34.8722878,-120.4277159,4669,28152,12563
"244","34.8725903+-120.3430118","06083002006","Census Tract 20.06, Santa Barbara County, California",2480,265,168.287,0.588,34.8725903,-120.3430118,4628,28301,NA
"245","34.883598+-120.4779852","06083002013","Census Tract 20.13, Santa Barbara County, California",2718,245,2.788,0.006,34.883598,-120.4779852,5227,30002,17170
"246","34.8861824+-120.425077","06083002008","Census Tract 20.08, Santa Barbara County, California",6313,494,1.272,0,34.8861824,-120.425077,4655,28439,11843
"247","34.9053343+-120.4616815","06083002011","Census Tract 20.11, Santa Barbara County, California",6000,888,7.1,0.053,34.9053343,-120.4616815,4937,29638,12045
"248","34.9079217+-120.4257095","06083002007","Census Tract 20.07, Santa Barbara County, California",10186,594,2.05,0.001,34.9079217,-120.4257095,4688,29147,12063
"249","34.9194408+-120.5796544","06083002502","Census Tract 25.02, Santa Barbara County, California",7504,120,63.363,1.13,34.9194408,-120.5796544,5450,31966,NA
"250","34.9287963+-120.4780833","06083002402","Census Tract 24.02, Santa Barbara County, California",12548,862,6.289,0.017,34.9287963,-120.4780833,5251,30260,12569
"251","34.9306689+-120.4270588","06083002103","Census Tract 21.03, Santa Barbara County, California",4551,579,1.096,0.003,34.9306689,-120.4270588,4789,29780,10214
"252","34.9421111+-120.4267768","06083002102","Census Tract 21.02, Santa Barbara County, California",2440,218,0.522,0,34.9421111,-120.4267768,4854,30059,9948
"253","34.9423293+-120.4448288","06083002404","Census Tract 24.04, Santa Barbara County, California",8675,609,0.508,0,34.9423293,-120.4448288,5011,30196,10601
"254","34.9494695+-120.4266148","06083002101","Census Tract 21.01, Santa Barbara County, California",4121,434,0.534,0,34.9494695,-120.4266148,4901,30231,9926
"255","34.9496291+-120.4447531","06083002403","Census Tract 24.03, Santa Barbara County, California",6903,516,0.511,0,34.9496291,-120.4447531,5108,30426,10909
"256","34.9567334+-120.4265923","06083002206","Census Tract 22.06, Santa Barbara County, California",4952,462,0.518,0,34.9567334,-120.4265923,4912,30435,10201
"257","34.9568972+-120.444653","06083002304","Census Tract 23.04, Santa Barbara County, California",6387,559,0.504,0,34.9568972,-120.444653,5092,30557,11030
"258","34.9569725+-120.3927552","06083002211","Census Tract 22.11, Santa Barbara County, California",5665,356,3.074,0.378,34.9569725,-120.3927552,4971,30755,11037
"259","34.9638747+-120.4280342","06083002205","Census Tract 22.05, Santa Barbara County, California",5371,495,0.432,0,34.9638747,-120.4280342,4879,30593,10214
"260","34.9641603+-120.4445191","06083002303","Census Tract 23.03, Santa Barbara County, California",6203,662,0.508,0,34.9641603,-120.4445191,5023,30693,11076
"261","34.9700343+-120.467047","06083002306","Census Tract 23.06, Santa Barbara County, California",9109,760,9.054,0.198,34.9700343,-120.467047,5256,30928,13272
"262","34.9705531+-120.4186966","06083002210","Census Tract 22.10, Santa Barbara County, California",6153,513,0.9,0.146,34.9705531,-120.4186966,4908,30929,10555
"263","34.9714322+-120.4444646","06083002305","Census Tract 23.05, Santa Barbara County, California",7217,542,0.505,0,34.9714322,-120.4444646,5043,30946,11349
"264","34.97297+-120.4307367","06083002209","Census Tract 22.09, Santa Barbara County, California",3572,364,0.424,0,34.97297,-120.4307367,4943,30884,10371
